project_name,project_slug,category_sort,category_name,selection_type,option_sort,option_name,option_description,price_min,price_max,active,category_condition_category_slug,category_condition_option_slugs,category_condition_match,option_condition_category_slug,option_condition_option_slugs,option_condition_match
Attic Conversions,attic-conversions,1,Attic Size,single,1,Small attic,Compact room,10000,18000,1,,,,,,
Attic Conversions,attic-conversions,1,Attic Size,single,2,Medium attic,Bedroom size,18000,32000,1,,,,,,
Attic Conversions,attic-conversions,1,Attic Size,single,3,Large attic,Larger space,30000,55000,1,,,,,,
Attic Conversions,attic-conversions,2,Existing Condition,single,1,Good headroom,Ready space,0,500,1,,,,,,
Attic Conversions,attic-conversions,2,Existing Condition,single,2,Limited headroom,Some changes,2500,6000,1,,,,,,
Attic Conversions,attic-conversions,2,Existing Condition,single,3,Low clearance,More framing,8000,18000,1,,,,,,
Attic Conversions,attic-conversions,3,Use Type,single,1,Office or bonus room,Simple finish,0,5000,1,,,,,,
Attic Conversions,attic-conversions,3,Use Type,single,2,Bedroom conversion,Closet ready,6000,12000,1,,,,,,
Attic Conversions,attic-conversions,3,Use Type,single,3,Suite preparation,Larger layout,12000,25500,1,,,,,,
Attic Conversions,attic-conversions,4,Sleeping Room Egress,single,1,Existing Code-Compliant Egress,Existing safe exit,0,0,1,use-type,bedroom-conversion|suite-preparation,any,,,
Attic Conversions,attic-conversions,4,Sleeping Room Egress,single,2,Add Egress Window,New code-compliant opening,2600,5500,1,use-type,bedroom-conversion|suite-preparation,any,,,
Attic Conversions,attic-conversions,5,Access,single,1,Use existing stairs,Keep access,0,800,1,,,,,,
Attic Conversions,attic-conversions,5,Access,single,2,Improve stairs,Safer access,2500,6000,1,,,,,,
Attic Conversions,attic-conversions,5,Access,single,3,New stairs,Code stairs,6000,14000,1,,,,,,
Attic Conversions,attic-conversions,6,Comfort Systems,single,1,Use Existing Heating and Cooling,No new comfort system,0,0,1,,,,,,
Attic Conversions,attic-conversions,6,Comfort Systems,single,2,Basic comfort,Light updates,1500,3000,1,,,,,,
Attic Conversions,attic-conversions,6,Comfort Systems,single,3,Mini split,Dedicated unit,3000,6500,1,,,,,,
Attic Conversions,attic-conversions,6,Comfort Systems,single,4,HVAC upgrade,Larger scope,3500,7500,1,,,,,,
Attic Conversions,attic-conversions,7,Optional Add Ons,multiple,1,Add dormer,More space,20000,55000,1,,,,,,
Attic Conversions,attic-conversions,7,Optional Add Ons,multiple,2,Skylight,Natural light,1800,3800,1,,,,,,
Attic Conversions,attic-conversions,7,Optional Add Ons,multiple,3,Half bathroom,Toilet sink,7500,14000,1,,,,use-type,suite-preparation,any
Attic Conversions,attic-conversions,7,Optional Add Ons,multiple,4,Full bathroom,Complete bath,14000,28000,1,,,,use-type,suite-preparation,any
Attic Conversions,attic-conversions,7,Optional Add Ons,multiple,5,Built-in storage,Custom storage,1500,3500,1,,,,,,
Basement Remodel,basement-remodel,1,Current Condition,single,1,Unfinished Basement,Open space,3000,8000,1,,,,,,
Basement Remodel,basement-remodel,1,Current Condition,single,2,Partly Finished,Some work done,1000,4000,1,,,,,,
Basement Remodel,basement-remodel,1,Current Condition,single,3,Finished Basement,Update space,0,1000,1,,,,,,
Basement Remodel,basement-remodel,2,Basement Size,single,1,Small Basement,Under 500 sf,12000,22000,1,,,,,,
Basement Remodel,basement-remodel,2,Basement Size,single,2,Medium Basement,500-900 sf,20000,38000,1,,,,,,
Basement Remodel,basement-remodel,2,Basement Size,single,3,Large Basement,900+ sf,32000,60000,1,,,,,,
Basement Remodel,basement-remodel,3,Bedrooms,single,1,No Bedrooms,Open layout,0,500,1,,,,,,
Basement Remodel,basement-remodel,3,Bedrooms,single,2,One New Bedroom,One bedroom,1500,3500,1,,,,,,
Basement Remodel,basement-remodel,3,Bedrooms,single,3,Two New Bedrooms,Two bedrooms,3000,6500,1,,,,,,
Basement Remodel,basement-remodel,3,Bedrooms,single,4,Three New Bedrooms,Three bedrooms,4500,9000,1,,,,,,
Basement Remodel,basement-remodel,4,Egress Windows,single,1,No Egress Window,None needed,0,0,1,,,,,,
Basement Remodel,basement-remodel,4,Egress Windows,single,2,One Egress Window,One window,1800,3500,1,,,,,,
Basement Remodel,basement-remodel,4,Egress Windows,single,3,Two Egress Windows,Two windows,3200,6000,1,,,,,,
Basement Remodel,basement-remodel,4,Egress Windows,single,4,Three Egress Windows,Three windows,4500,8500,1,,,,,,
Basement Remodel,basement-remodel,5,Bathroom,single,1,No New Bathroom,No bathroom,0,0,1,,,,,,
Basement Remodel,basement-remodel,5,Bathroom,single,2,Half Bathroom,Toilet sink,5000,10000,1,,,,,,
Basement Remodel,basement-remodel,5,Bathroom,single,3,Full Bathroom,Full bath,10000,22000,1,,,,,,
Basement Remodel,basement-remodel,5,Bathroom,single,4,Primary Bathroom,Larger bath,16000,32000,1,,,,,,
Basement Remodel,basement-remodel,6,Finish Level,single,1,Basic Finish,Clean finish,0,1200,1,,,,,,
Basement Remodel,basement-remodel,6,Finish Level,single,2,Standard Finish,Better finish,1500,3000,1,,,,,,
Basement Remodel,basement-remodel,6,Finish Level,single,3,Upgraded Finish,Nicer finish,3000,5500,1,,,,,,
Basement Remodel,basement-remodel,7,Moisture Work,single,1,No Additional Moisture Work,No added moisture work,0,0,1,,,,,,
Basement Remodel,basement-remodel,7,Moisture Work,single,2,Basic Moisture Prep,Basic prep,0,1000,1,,,,,,
Basement Remodel,basement-remodel,7,Moisture Work,single,3,Waterproofing,Membrane drain pump,1800,4000,1,,,,,,
Basement Remodel,basement-remodel,8,Optional Add Ons,multiple,1,Laundry Area,Utility space,800,1800,1,,,,,,
Basement Remodel,basement-remodel,8,Optional Add Ons,multiple,2,Wet Bar,Small bar,1200,2800,1,,,,,,
Basement Remodel,basement-remodel,8,Optional Add Ons,multiple,3,Rebuild Existing Staircase,Improve interior stairs,1500,4000,1,,,,,,
Basement Remodel,basement-remodel,8,Optional Add Ons,multiple,4,Install New Concrete Staircase,New exterior stairs,4000,9000,1,,,,,,
Bathroom Remodel,bathroom-remodel,1,Bathroom Size,single,1,Powder Room,Small bath,4000,7500,1,,,,,,
Bathroom Remodel,bathroom-remodel,1,Bathroom Size,single,2,Standard Bathroom,Full bath,7500,12000,1,,,,,,
Bathroom Remodel,bathroom-remodel,1,Bathroom Size,single,3,Primary Bathroom,Larger bath,11000,18000,1,,,,,,
Bathroom Remodel,bathroom-remodel,2,Remodel Level,single,1,Cosmetic Refresh,Surface updates,0,3000,1,,,,,,
Bathroom Remodel,bathroom-remodel,2,Remodel Level,single,2,Standard Remodel,New finishes,5000,7750,1,,,,,,
Bathroom Remodel,bathroom-remodel,2,Remodel Level,single,3,Full Gut Remodel,Open walls,10000,18250,1,,,,,,
Bathroom Remodel,bathroom-remodel,3,Layout Changes,single,1,Keep Layout,No wall changes,0,1000,1,remodel-level,standard-remodel|full-gut-remodel,any,,,
Bathroom Remodel,bathroom-remodel,3,Layout Changes,single,2,Move Non-Structural Wall,Open layout,2000,6000,1,remodel-level,standard-remodel|full-gut-remodel,any,,,
